Ecoregion Name,EVI_EOS_COUNT,EVI_EOS_KURTOSIS,EVI_EOS_MEAN,EVI_EOS_MEDIAN,EVI_EOS_SD,EVI_POS_END_COUNT,EVI_POS_END_KURTOSIS,EVI_POS_END_MEAN,EVI_POS_END_MEDIAN,EVI_POS_END_SD,EVI_POS_LENGTH_COUNT,EVI_POS_LENGTH_KURTOSIS,EVI_POS_LENGTH_MEAN,EVI_POS_LENGTH_MEDIAN,EVI_POS_LENGTH_SD,EVI_POS_START_COUNT,EVI_POS_START_KURTOSIS,EVI_POS_START_MEAN,EVI_POS_START_MEDIAN,EVI_POS_START_SD,EVI_SOS_COUNT,EVI_SOS_KURTOSIS,EVI_SOS_MEAN,EVI_SOS_MEDIAN,EVI_SOS_SD,NDVI_EOS_COUNT,NDVI_EOS_KURTOSIS,NDVI_EOS_MEAN,NDVI_EOS_MEDIAN,NDVI_EOS_SD,NDVI_POS_END_COUNT,NDVI_POS_END_KURTOSIS,NDVI_POS_END_MEAN,NDVI_POS_END_MEDIAN,NDVI_POS_END_SD,NDVI_POS_LENGTH_COUNT,NDVI_POS_LENGTH_KURTOSIS,NDVI_POS_LENGTH_MEAN,NDVI_POS_LENGTH_MEDIAN,NDVI_POS_LENGTH_SD,NDVI_POS_START_COUNT,NDVI_POS_START_KURTOSIS,NDVI_POS_START_MEAN,NDVI_POS_START_MEDIAN,NDVI_POS_START_SD,NDVI_SOS_COUNT,NDVI_SOS_KURTOSIS,NDVI_SOS_MEAN,NDVI_SOS_MEDIAN,NDVI_SOS_SD,.geo
MIXED WOOD SHIELD,1452,3.501558829,-0.047916217,0,0.313186163,5369,35.80659211,-0.033456076,0.007518637,0.490618388,5369,5.9657009,-0.213306886,-0.156567964,0.605767561,5369,16.41142563,0.153484053,0.007121683,0.471432715,143,2.492974228,-0.399891922,-0.236212861,0.87649635,1452,2.499346378,-0.039366417,0,0.232251348,5369,6.23554349,-0.066736031,-0.050816193,0.468026846,5369,6.958292128,-0.317399508,-0.221727023,0.707876608,5369,10.4351652,0.205591031,0.155866266,0.485842455,143,8.389902835,-0.127311549,-0.04788961,0.637793621,"{""type"":""MultiPoint"",""coordinates"":[]}"
ATLANTIC HIGHLANDS,125,0.257734771,0.163958004,0.159649123,0.244795915,633,3.045835121,-0.070629023,-0.076110456,0.518513052,633,5.447279984,-0.037776692,0.001573097,0.684138313,633,11.02975187,-0.019696505,0.002871519,0.422126596,30,8.246774421,-0.446054792,-0.461111111,0.83733457,125,0.337488985,0.132870071,0.138095238,0.190927077,633,3.960867624,0.115531029,0.050256769,0.552412658,633,2.153579398,0.198835828,0.170390039,0.834516975,633,1.983069746,-0.085917178,-0.075355486,0.47678042,30,-0.83805739,-0.448821761,-0.5,0.607298204,"{""type"":""MultiPoint"",""coordinates"":[]}"
WESTERN CORDILLERA,667620,9.660594141,0.222117833,0.213584214,0.443733694,1415716,9.43955426,0.074871036,0.004805886,0.676153386,1415716,9.48370172,-0.063877735,0.027875007,0.878689284,1415716,7.107501675,0.1514941,0.185074421,0.402566797,197943,10.007903,-0.104047466,0.00767887,0.730741445,667620,9.133672625,0.189008507,0.154546784,0.353699873,1415716,7.529876509,0.10654935,0.018657145,0.717955288,1415716,7.541705914,-0.09237335,0.025385889,0.932577308,1415716,8.238812753,0.191478171,0.155474025,0.417132336,197943,10.89514057,-0.042980789,0.006817825,0.61171538,"{""type"":""MultiPoint"",""coordinates"":[]}"
MARINE WEST COAST FOREST,991,42.7497225,0.021024274,2.77E-05,0.369664625,2532,5.727281373,0.242348414,0.001733479,0.966016842,2532,6.13047405,0.3100665,0.154430209,1.269326751,2532,18.62622683,-0.032932654,9.71E-04,0.680674468,121,-0.29065795,0.099301378,0,0.779488875,991,26.83389475,0.068536375,2.73E-05,0.480860811,2532,16.64566262,0.157821372,4.81E-04,0.577122452,2532,12.82137726,0.182090869,5.99E-04,1.048534813,2532,24.07679868,0.023695405,1.38E-04,0.523010119,121,-0.004299715,-0.034377454,0,0.989851235,"{""type"":""MultiPoint"",""coordinates"":[]}"
MIXED WOOD PLAINS,453,12.17344712,0.006151874,0.001303936,0.34392946,4593,13.86921555,0.041005709,0.006633276,0.682469417,4593,2.891823332,-0.19469786,-0.155585899,0.877391842,4593,12.5177097,0.232511707,0.216737547,0.551733756,116,2.857548746,-0.229222795,-0.138360088,0.5750332,453,10.77594238,-0.026414777,0,0.304343683,4593,2.747367294,0.069207171,0.001675471,0.600170493,4593,2.507608001,-0.133314121,-0.093431527,0.989917638,4593,4.405389974,0.208032507,0.154784373,0.599372348,116,2.478881912,-0.271899882,-0.13758515,0.575108525,"{""type"":""MultiPoint"",""coordinates"":[]}"
CENTRAL USA PLAINS,72,0.459913623,0.142975354,0,0.437109602,2520,3.321870803,-0.015790774,0.002214318,0.735410003,2520,3.341863409,-0.027732067,0.009809142,1.059181427,2520,5.097884557,0.033079602,0.093610478,0.640755168,114,1.715172692,-0.056306198,0,0.318271874,72,1.29969356,0.166433445,0.171568627,0.529278031,2520,2.006907154,0.037092796,0.001153876,0.679898482,2520,2.815422083,0.15328833,0.008233716,1.182423473,2520,2.583125834,-0.102353922,0.002204732,0.682819856,114,14.86166437,-0.26940955,-0.199054351,0.466452517,"{""type"":""MultiPoint"",""coordinates"":[]}"
SOUTHEASTERN USA PLAINS,109218,2.952989198,-0.106968526,1.96E-04,0.547876223,130843,0.547909548,-0.855509643,-0.657696138,1.318536498,130843,0.56225375,-0.657149468,-0.565512061,1.51144339,130843,13.32640314,-0.096569616,0.001153419,0.559668084,77843,6.917124185,-0.383267774,-0.408882595,0.654192904,109218,1.930138216,-0.12940959,0.001597091,0.703748797,130843,6.047501563,-0.275816982,6.25E-04,0.738675943,130843,4.046555841,-0.293065718,-0.190624581,1.133156942,130843,23.94931667,-0.046993213,2.87E-04,0.520558908,77843,8.520061067,-0.421857778,-0.40863956,0.799567502,"{""type"":""MultiPoint"",""coordinates"":[]}"
OZARK/OUACHITA-APPALACHIAN FORESTS,12798,0.965451804,-0.267532863,-0.20361031,0.701786417,20708,0.778370675,-0.179147581,-0.094699714,0.951955659,20708,0.92700598,-0.21615479,-0.094307005,1.16505578,20708,2.65575665,0.125267037,0.094005882,0.628165135,9314,3.023134332,-0.189558537,-0.172189783,0.474273535,12798,1.663777535,-0.190991759,-0.157806997,0.7069377,20708,0.219696684,-0.383131036,-0.32873549,0.862373266,20708,0.483640547,-0.333095067,-0.282813537,1.238401011,20708,3.214745479,0.016358983,0.001517298,0.592169439,9314,7.145765198,-0.315617285,-0.284112802,0.545361665,"{""type"":""MultiPoint"",""coordinates"":[]}"
MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,5386,1.951867139,0.135968429,2.34E-04,0.625326204,10656,3.090911226,0.027249541,0.004671759,0.879273016,10656,1.083540892,0.44239311,0.340288249,1.57395817,10656,1.254242858,-0.370747992,-0.221329532,1.157006509,2219,2.276340072,-0.616719841,-0.407981358,1.282467228,5386,1.430816346,0.292935758,0.172602333,0.744802763,10656,4.727608794,0.114013837,0.00210729,0.708006047,10656,1.218195504,0.753262454,0.554145231,1.720733999,10656,1.702694698,-0.537150612,-0.187782428,1.235734861,2219,1.492897908,-0.847324037,-0.47998665,1.56304218,"{""type"":""MultiPoint"",""coordinates"":[]}"
TEMPERATE PRAIRIES,60679,1.342634742,-0.021650497,8.01E-04,0.552391505,100634,2.0925565,0.301913471,0.341841824,0.692608056,100634,2.94735979,-0.030155021,0.009091281,0.809528721,100634,2.104434825,0.342217218,0.276755304,0.581435286,59595,1.801080694,-0.099311715,-0.078639256,0.424268009,60679,1.58493569,-0.06495971,8.43E-04,0.517741721,100634,0.924820643,0.014883684,0.094015096,0.814291814,100634,1.520038845,-0.229708858,-0.09622371,1.07951471,100634,1.702538941,0.29977508,0.261108013,0.583878279,59595,1.766597636,-0.159053001,-0.157600315,0.461299196,"{""type"":""MultiPoint"",""coordinates"":[]}"
WEST-CENTRAL SEMI-ARID PRAIRIES,829892,2.88433417,0.332719911,0.275645644,0.551736558,2546921,2.998635673,0.061566289,0.008768548,0.625566938,2546921,9.127676826,-0.177047786,-0.156812293,0.567574692,2546921,2.262676004,0.284976913,0.308475284,0.461672213,319496,4.962274327,-0.085387539,-0.042428311,0.468513898,829892,2.620242741,0.353840001,0.275519544,0.546695649,2546921,2.649894146,0.224718645,0.155480736,0.764356512,2546921,6.508095675,-0.065572513,-0.039728147,0.752205419,2546921,1.8189593,0.33175331,0.341644737,0.496032829,319496,5.195552738,-0.050037361,-0.041879759,0.483820875,"{""type"":""MultiPoint"",""coordinates"":[]}"
SOUTH CENTRAL SEMI-ARID PRAIRIES,2064639,2.908504337,0.108298812,0.001381245,0.555047092,2984095,3.910786552,-0.145065892,-0.073761971,0.927395458,2984095,3.397512522,-0.384093619,-0.315497646,1.109835763,2984095,4.032145484,0.353482123,0.30909984,0.756142233,1355746,4.971290988,0.102312824,0.032815493,0.607391504,2064639,3.416936084,0.096040963,0.001272534,0.607247698,2984095,3.946311269,-0.254024013,0.00865934,0.860352858,2984095,3.136559595,-0.486192524,-0.446479038,1.215654199,2984095,3.997551686,0.344862795,0.185157282,0.761675905,1355746,4.59244968,0.077065917,0.033349496,0.750283624,"{""type"":""MultiPoint"",""coordinates"":[]}"
TEXAS-LOUISIANA COASTAL PLAIN,38248,3.695840749,0.050614683,7.79E-04,0.607239246,77037,2.410184607,-0.486876613,-0.34462849,1.033284115,77037,0.932846463,-0.426219187,-0.445242942,1.48467854,77037,5.661067119,0.114966357,0.002256775,0.699175831,15660,3.188288446,-0.347917244,-0.221195105,1.115934506,38248,4.286975102,0.047910207,7.94E-04,0.675762418,77037,36.41308705,-0.056898383,2.91E-04,0.515772824,77037,4.839712256,-0.254979982,-0.072404365,1.14617831,77037,13.50073251,0.148437338,7.54E-04,0.545826364,15660,2.190580644,-0.7365585,-0.569063319,1.454545082,"{""type"":""MultiPoint"",""coordinates"":[]}"
TAMAULIPAS-TEXAS SEMIARID PLAIN,97618,2.026620313,0.088999535,2.40E-04,0.635771093,211460,8.279756576,-0.287680355,0.001113213,0.697454453,211460,0.665973817,0.09027266,-0.070298523,1.72238279,211460,10.9767925,0.028100006,0.002825751,0.927061112,9325,5.514035818,0.273435149,0.276262942,0.877986316,97618,3.409851377,0.136234081,1.04E-04,0.704136822,211460,183.8467821,-0.024617656,1.97E-04,0.272113157,211460,1.836289672,0.522342928,0.008607554,1.513866053,211460,32.08104172,-0.003846325,8.51E-04,0.550944415,9325,2.832239654,0.372208523,0.403853093,1.113776519,"{""type"":""MultiPoint"",""coordinates"":[]}"
COLD DESERTS,938048,10.04719794,0.195002198,0.154744122,0.306059645,3171759,3.865290361,0.115112493,0.017319233,0.807442336,3171759,3.003528901,0.011067454,0.024093417,1.033449844,3171759,6.426618979,0.062661588,0.012052295,0.43886936,284942,4.413848825,-0.123644615,0.009228674,0.705791616,938048,13.86750656,0.15772316,0.154238768,0.262692951,3171759,5.151083789,0.054974798,0.009830661,0.761286977,3171759,3.950194874,-0.126910197,0.017238581,1.040121079,3171759,10.00054347,0.0949587,0.00695231,0.416577903,284942,6.033339986,-0.180343425,-0.078319476,0.724923738,"{""type"":""MultiPoint"",""coordinates"":[]}"
WARM DESERTS,64756,7.376933159,0.096549819,6.89E-04,0.465415409,98990,13.68441431,0.086693165,0.004124943,0.746246889,98990,5.553037917,-0.010945678,0.008140655,1.229969903,98990,12.07255572,0.111751782,6.85E-04,0.699040054,15178,1.011910331,0.659095379,0.655320648,1.233174403,64756,9.145467342,0.066176852,6.27E-04,0.473283682,98990,39.35546774,0.039580559,0.001759061,0.543920454,98990,8.314820953,0.058297707,0.004188435,1.124279669,98990,13.99612062,0.043014143,4.63E-04,0.697239807,15178,2.055444909,0.593988851,0.679820833,1.348570073,"{""type"":""MultiPoint"",""coordinates"":[]}"
MEDITERRANEAN CALIFORNIA,150483,389.7886399,-6.95E-04,8.92E-06,0.138000302,172651,19.28270223,-0.207148356,0.010375905,0.798114578,172651,16.73435043,-0.171958611,0.014076006,0.850797542,172651,283.2428164,0.005164328,2.47E-05,0.164411663,729,5.397004678,0.05503453,0.096238319,0.729896761,150483,688.1223708,0.001709704,4.67E-06,0.119841639,172651,40.53008626,-0.220886923,0.005438379,0.626337077,172651,35.20804362,-0.220005154,0.007096174,0.688125122,172651,609.4539793,0.002342174,1.04E-05,0.130808194,729,6.461997962,-0.003250321,0.012963386,0.911217717,"{""type"":""MultiPoint"",""coordinates"":[]}"
WESTERN SIERRA MADRE PIEDMONT,40234,5.795421223,0.166314186,1.69E-04,0.315211129,44703,2.654882676,-0.011647311,0.001204129,0.507323351,44703,3.174733455,0.046952338,0.093995875,1.057507937,44703,6.476159401,0.004694762,0.00168898,0.572280517,22519,2.102437458,-0.776627118,-0.724741691,0.934305274,40234,3.633577678,0.272280487,0.13999544,0.398384933,44703,3.882797442,-0.039357103,6.40E-04,0.464828268,44703,4.611814203,0.013202432,0.0046082,0.985615621,44703,18.19123686,0.009539065,0.001376823,0.470989787,22519,1.975889614,-0.995526304,-0.907972607,0.987474215,"{""type"":""MultiPoint"",""coordinates"":[]}"
UPPER GILA MOUNTAINS (?),51117,5.384098986,0.100617767,3.21E-04,0.369928881,177857,4.443679782,-0.100949801,0.001330678,0.57157342,177857,2.604920259,-0.356975568,-0.096456338,1.218645719,177857,2.766266014,0.260270531,0.001894235,0.750665994,31348,1.84204206,-0.42512393,-0.481310982,0.906923091,51117,5.237624592,0.072929993,4.17E-04,0.494150362,177857,7.425028803,-0.111505195,1.07E-04,0.445842716,177857,7.385157533,-0.095362138,0.00627696,1.067662052,177857,7.888420613,-0.004322054,9.79E-04,0.724695597,31348,2.989071916,-0.585931051,-0.659430288,0.933566373,"{""type"":""MultiPoint"",""coordinates"":[]}"
EVERGLADES,123,18.68144622,0.025064834,0,0.527254226,2839,28.63954303,0.114238852,8.11E-04,1.101755771,2839,7.972366641,-0.335406132,0.002103932,1.623336742,2839,55.62626669,0.010478731,6.99E-05,0.380571958,2,-2,-0.44047619,-0.44047619,0.55952381,123,9.416258437,0.075786677,0,0.770729053,2839,229.0036509,0.036635419,0,0.485133649,2839,43.39756709,-0.087913074,2.48E-04,0.851067749,2839,162.0839359,0.027726546,2.70E-05,0.406875656,2,-2,-0.528186275,-0.528186275,0.013480392,"{""type"":""MultiPoint"",""coordinates"":[]}"
